# i_sweep, z, m_z
   41,    16, .7000
   41,    17, .3000
   41,    18, -.1000
   41,    19, -.6000
   41,    20, -.6000

   42,     1, .9000
   42,     2, .7000
   42,     3, .6000
   42,     4, .8000
   42,     5, .6000
   42,     6, .7000
   42,     7, 1.0000
   42,     8, 1.0000
   42,     9, 1.0000
   42,    10, 1.0000
   42,    11, .9000
   42,    12, .5000
   42,    13, .8000
   42,    14, .9000
   42,    15, .9000
   42,    16, .6000
   42,    17, .5000
   42,    18, .4000
   42,    19, -.4000
   42,    20, -.6000

   43,     1, 1.0000
   43,     2, 1.0000
   43,     3, .5000
   43,     4, .6000
   43,     5, .6000
   43,     6, .7000
   43,     7, .8000
   43,     8, 1.0000
   43,     9, 1.0000
   43,    10, 1.0000
   43,    11, 1.0000
   43,    12, .6000
   43,    13, .9000
   43,    14, .8000
   43,    15, 1.0000
   43,    16, .8000
   43,    17, .4000
   43,    18, .4000
   43,    19, .0000
   43,    20, -.9000

   44,     1, 1.0000
   44,     2, 1.0000
   44,     3, .9000
   44,     4, .4000
   44,     5, .4000
   44,     6, .6000
   44,     7, 1.0000
   44,     8, .9000
   44,     9, 1.0000
   44,    10, .8000
   44,    11, .7000
   44,    12, .6000
   44,    13, .8000
   44,    14, .8000
   44,    15, 1.0000
   44,    16, .8000
   44,    17, .2000
   44,    18, -.3000
   44,    19, -.4000
   44,    20, -.9000

   45,     1, 1.0000
   45,     2, 1.0000
   45,     3, .9000
   45,     4, .4000
   45,     5, .5000
   45,     6, .9000
   45,     7, 1.0000
   45,     8, .7000
   45,     9, .6000
   45,    10, .7000
   45,    11, .8000
   45,    12, .7000
   45,    13, .8000
   45,    14, 1.0000
   45,    15, .9000
   45,    16, .5000
   45,    17, .2000
   45,    18, .0000
   45,    19, -.7000
   45,    20, -.9000

   46,     1, 1.0000
   46,     2, 1.0000
   46,     3, .7000
   46,     4, .5000
   46,     5, .5000
   46,     6, .7000
   46,     7, .8000
   46,     8, .7000
   46,     9, .6000
   46,    10, .9000
   46,    11, .8000
   46,    12, 1.0000
   46,    13, .7000
   46,    14, 1.0000
   46,    15, .7000
   46,    16, .4000
   46,    17, .4000
   46,    18, -.1000
   46,    19, -.8000
   46,    20, -1.0000

   47,     1, 1.0000
   47,     2, 1.0000
   47,     3, .8000
   47,     4, .4000
   47,     5, .4000
